linha;produto;tamanho;ingredientes;modo de preparo;observacoes;imagem
Milkshakes Tradicionais;Banana;500ml;"Pó de banana; Sorvete de baunilha; Leite";"Adicione leite até a marcação; coloque o pó de banana (medida da tabela) e o sorvete. Misture no batedor.";;banana.jpg
Milkshakes Tradicionais;Banana;700ml;"Pó de banana; Sorvete de baunilha; Leite";"Adicione leite até a marcação; coloque o pó de banana (medida da tabela) e o sorvete. Misture no batedor.";;banana.jpg
Milkshakes Tradicionais;Banana com Canela;250ml;"Pó de banana com canela; Sorvete de baunilha; Leite; Cobertura de caramelo Marvi";"Decore o copo com cobertura de caramelo Marvi. Adicione leite até a marcação; coloque o pó de banana com canela (medida da tabela) e o sorvete. Misture no batedor.";;banana_canela.jpg
Milkshakes Tradicionais;Banana com Canela;400ml;"Pó de banana com canela; Sorvete de baunilha; Leite; Cobertura de caramelo Marvi";"Decore o copo com cobertura de caramelo Marvi. Adicione leite até a marcação; coloque o pó de banana com canela (medida da tabela) e o sorvete. Misture no batedor.";;banana_canela.jpg
Milkshakes Tradicionais;Banana com Canela;500ml;"Pó de banana com canela; Sorvete de baunilha; Leite; Cobertura de caramelo Marvi";"Decore o copo com cobertura de caramelo Marvi. Adicione leite até a marcação; coloque o pó de banana com canela (medida da tabela) e o sorvete. Misture no batedor.";;banana_canela.jpg
Milkshakes Tradicionais;Banana com Canela;700ml;"Pó de banana com canela; Sorvete de baunilha; Leite; Cobertura de caramelo Marvi";"Decore o copo com cobertura de caramelo Marvi. Adicione leite até a marcação; coloque o pó de banana com canela (medida da tabela) e o sorvete. Misture no batedor.";;banana_canela.jpg
Milkshakes Tradicionais;Beijinho;250ml;"Pó de beijinho (medida A); Coco ralado (medida D); Sorvete de baunilha; Leite; Cobertura de leite condensado Marvi";"Decore o copo com cobertura de leite condensado Marvi. Adicione leite até a marcação; coloque o pó de beijinho (A) e misture no batedor; acrescente o sorvete e o coco ralado (D). Misture levemente com o batedor desligado. Opcional: finalize com 25% da medida D de coco.";;beijinho.jpg
Milkshakes Tradicionais;Beijinho;400ml;"Pó de beijinho (medida A); Coco ralado (medida D); Sorvete de baunilha; Leite; Cobertura de leite condensado Marvi";"Decore o copo com cobertura de leite condensado Marvi. Adicione leite até a marcação; coloque o pó de beijinho (A) e misture no batedor; acrescente o sorvete e o coco ralado (D). Misture levemente com o batedor desligado. Opcional: finalize com 25% da medida D de coco.";;beijinho.jpg
Milkshakes Tradicionais;Beijinho;500ml;"Pó de beijinho (medida A); Coco ralado (medida D); Sorvete de baunilha; Leite; Cobertura de leite condensado Marvi";"Decore o copo com cobertura de leite condensado Marvi. Adicione leite até a marcação; coloque o pó de beijinho (A) e misture no batedor; acrescente o sorvete e o coco ralado (D). Misture levemente com o batedor desligado. Opcional: finalize com 25% da medida D de coco.";;beijinho.jpg
Milkshakes Tradicionais;Beijinho;700ml;"Pó de beijinho (medida A); Coco ralado (medida D); Sorvete de baunilha; Leite; Cobertura de leite condensado Marvi";"Decore o copo com cobertura de leite condensado Marvi. Adicione leite até a marcação; coloque o pó de beijinho (A) e misture no batedor; acrescente o sorvete e o coco ralado (D). Misture levemente com o batedor desligado. Opcional: finalize com 25% da medida D de coco.";;beijinho.jpg
Milkshakes Tradicionais;Brigadeiro;250ml;"Pó de leite condensado (50% medida A); Granulado macio (medida D); Sorvete de chocolate; Leite; Cobertura de brigadeiro Marvi";"Decore o copo com cobertura de brigadeiro Marvi. Adicione leite até a marcação; coloque o pó de leite condensado, o granulado e o sorvete de chocolate. Misture no batedor. Opcional: finalize com granulado (25% da medida D).";;brigadeiro.jpg
Milkshakes Tradicionais;Brigadeiro;400ml;"Pó de leite condensado (50% medida A); Granulado macio (medida D); Sorvete de chocolate; Leite; Cobertura de brigadeiro Marvi";"Decore o copo com cobertura de brigadeiro Marvi. Adicione leite até a marcação; coloque o pó de leite condensado, o granulado e o sorvete de chocolate. Misture no batedor. Opcional: finalize com granulado (25% da medida D).";;brigadeiro.jpg
Milkshakes Tradicionais;Brigadeiro;500ml;"Pó de leite condensado (50% medida A); Granulado macio (medida D); Sorvete de chocolate; Leite; Cobertura de brigadeiro Marvi";"Decore o copo com cobertura de brigadeiro Marvi. Adicione leite até a marcação; coloque o pó de leite condensado, o granulado e o sorvete de chocolate. Misture no batedor. Opcional: finalize com granulado (25% da medida D).";;brigadeiro.jpg
Milkshakes Tradicionais;Brigadeiro;700ml;"Pó de leite condensado (50% medida A); Granulado macio (medida D); Sorvete de chocolate; Leite; Cobertura de brigadeiro Marvi";"Decore o copo com cobertura de brigadeiro Marvi. Adicione leite até a marcação; coloque o pó de leite condensado, o granulado e o sorvete de chocolate. Misture no batedor. Opcional: finalize com granulado (25% da medida D).";;brigadeiro.jpg
Milkshakes Tradicionais;Capuccino;250ml;"Capuccino (2 medidas A); Sorvete de baunilha; Leite; Cobertura de caramelo Marvi";"Decore o copo com cobertura de caramelo Marvi. Adicione leite até a marcação; coloque o capuccino (2 medidas A) e o sorvete de baunilha. Misture no batedor.";;capuccino.jpg
Milkshakes Tradicionais;Capuccino;400ml;"Capuccino (2 medidas A); Sorvete de baunilha; Leite; Cobertura de caramelo Marvi";"Decore o copo com cobertura de caramelo Marvi. Adicione leite até a marcação; coloque o capuccino (2 medidas A) e o sorvete de baunilha. Misture no batedor.";;capuccino.jpg
Milkshakes Tradicionais;Capuccino;500ml;"Capuccino (2 medidas A); Sorvete de baunilha; Leite; Cobertura de caramelo Marvi";"Decore o copo com cobertura de caramelo Marvi. Adicione leite até a marcação; coloque o capuccino (2 medidas A) e o sorvete de baunilha. Misture no batedor.";;capuccino.jpg
Milkshakes Tradicionais;Capuccino;700ml;"Capuccino (2 medidas A); Sorvete de baunilha; Leite; Cobertura de caramelo Marvi";"Decore o copo com cobertura de caramelo Marvi. Adicione leite até a marcação; coloque o capuccino (2 medidas A) e o sorvete de baunilha. Misture no batedor.";;capuccino.jpg
Milkshakes Tradicionais;Cereja;250ml;"Pó de cereja (medida A); Sorvete de baunilha; Leite; Cobertura de cereja Marvi";"Decore o copo com cobertura de cereja Marvi. Adicione leite até a marcação; coloque o pó de cereja e o sorvete de baunilha. Misture no batedor.";;cereja.jpg
Milkshakes Tradicionais;Cereja;400ml;"Pó de cereja (medida A); Sorvete de baunilha; Leite; Cobertura de cereja Marvi";"Decore o copo com cobertura de cereja Marvi. Adicione leite até a marcação; coloque o pó de cereja e o sorvete de baunilha. Misture no batedor.";;cereja.jpg
Milkshakes Tradicionais;Cereja;500ml;"Pó de cereja (medida A); Sorvete de baunilha; Leite; Cobertura de cereja Marvi";"Decore o copo com cobertura de cereja Marvi. Adicione leite até a marcação; coloque o pó de cereja e o sorvete de baunilha. Misture no batedor.";;cereja.jpg
Milkshakes Tradicionais;Cereja;700ml;"Pó de cereja (medida A); Sorvete de baunilha; Leite; Cobertura de cereja Marvi";"Decore o copo com cobertura de cereja Marvi. Adicione leite até a marcação; coloque o pó de cereja e o sorvete de baunilha. Misture no batedor.";;cereja.jpg
Milkshakes Tradicionais;Charge;250ml;"Pasta integral de amendoim; Amendoim torrado granulado (medida D); Sorvete misto; Leite; Cobertura de caramelo Marvi";"Decore o copo com cobertura de caramelo Marvi. Adicione leite até a marcação; coloque a pasta de amendoim e misture no batedor; acrescente o sorvete e o amendoim torrado. Misture levemente com o batedor desligado. Opcional: finalize com 25% da medida D de amendoim torrado.";;charge.jpg
Milkshakes Tradicionais;Charge;400ml;"Pasta integral de amendoim; Amendoim torrado granulado (medida D); Sorvete misto; Leite; Cobertura de caramelo Marvi";"Decore o copo com cobertura de caramelo Marvi. Adicione leite até a marcação; coloque a pasta de amendoim e misture no batedor; acrescente o sorvete e o amendoim torrado. Misture levemente com o batedor desligado. Opcional: finalize com 25% da medida D de amendoim torrado.";;charge.jpg
Milkshakes Tradicionais;Charge;500ml;"Pasta integral de amendoim; Amendoim torrado granulado (medida D); Sorvete misto; Leite; Cobertura de caramelo Marvi";"Decore o copo com cobertura de caramelo Marvi. Adicione leite até a marcação; coloque a pasta de amendoim e misture no batedor; acrescente o sorvete e o amendoim torrado. Misture levemente com o batedor desligado. Opcional: finalize com 25% da medida D de amendoim torrado.";;charge.jpg
Milkshakes Tradicionais;Charge;700ml;"Pasta integral de amendoim; Amendoim torrado granulado (medida D); Sorvete misto; Leite; Cobertura de caramelo Marvi";"Decore o copo com cobertura de caramelo Marvi. Adicione leite até a marcação; coloque a pasta de amendoim e misture no batedor; acrescente o sorvete e o amendoim torrado. Misture levemente com o batedor desligado. Opcional: finalize com 25% da medida D de amendoim torrado.";;charge.jpg
Milkshakes Tradicionais;Chiclete;250ml;;;PENDENTE TRANSCRIÇÃO A PARTIR DA FOTO;chiclete.jpg
Milkshakes Tradicionais;Chiclete;400ml;;;;
Milkshakes Tradicionais;Chiclete;500ml;;;;
Milkshakes Tradicionais;Chiclete;700ml;;;;
Milkshakes Tradicionais;Chocolate;250ml;;;PENDENTE TRANSCRIÇÃO A PARTIR DA FOTO;chocolate.jpg
Milkshakes Tradicionais;Chocolate;400ml;;;;
Milkshakes Tradicionais;Chocolate;500ml;;;;
Milkshakes Tradicionais;Chocolate;700ml;;;;
Milkshakes Tradicionais;Chocolate Branco;250ml;;;;
Milkshakes Tradicionais;Chocolate Branco;400ml;;;;
Milkshakes Tradicionais;Chocolate Branco;500ml;;;;
Milkshakes Tradicionais;Chocolate Branco;700ml;;;;
Milkshakes Tradicionais;Chocomenta;250ml;;;;
Milkshakes Tradicionais;Chocomenta;400ml;;;;
Milkshakes Tradicionais;Chocomenta;500ml;;;;
Milkshakes Tradicionais;Chocomenta;700ml;;;;
Milkshakes Tradicionais;Choquito;250ml;;;;
Milkshakes Tradicionais;Choquito;400ml;;;;
Milkshakes Tradicionais;Choquito;500ml;;;;
Milkshakes Tradicionais;Choquito;700ml;;;;
Milkshakes Tradicionais;Coco;250ml;;;PENDENTE TRANSCRIÇÃO A PARTIR DA FOTO;coco.jpg
Milkshakes Tradicionais;Coco;400ml;;;;
Milkshakes Tradicionais;Coco;500ml;;;;
Milkshakes Tradicionais;Coco;700ml;;;;
Milkshakes Tradicionais;Confeti;250ml;;;;
Milkshakes Tradicionais;Confeti;400ml;;;;
Milkshakes Tradicionais;Confeti;500ml;;;;
Milkshakes Tradicionais;Confeti;700ml;;;;
Milkshakes Tradicionais;Creme;250ml;;;PENDENTE TRANSCRIÇÃO A PARTIR DA FOTO;creme.jpg
Milkshakes Tradicionais;Creme;400ml;;;;
Milkshakes Tradicionais;Creme;500ml;;;;
Milkshakes Tradicionais;Creme;700ml;;;;
Milkshakes Tradicionais;Danoninho;250ml;;;;
Milkshakes Tradicionais;Danoninho;400ml;;;;
Milkshakes Tradicionais;Danoninho;500ml;;;;
Milkshakes Tradicionais;Danoninho;700ml;;;;
Milkshakes Tradicionais;Diamante Negro;250ml;;;A preencher depois;diamante_negro.jpg
Milkshakes Tradicionais;Diamante Negro;400ml;;;;
Milkshakes Tradicionais;Diamante Negro;500ml;;;;
Milkshakes Tradicionais;Diamante Negro;700ml;;;;
Milkshakes Tradicionais;Flocos;250ml;;;PENDENTE TRANSCRIÇÃO A PARTIR DA FOTO;flocos.jpg
Milkshakes Tradicionais;Flocos;400ml;;;;
Milkshakes Tradicionais;Flocos;500ml;;;;
Milkshakes Tradicionais;Flocos;700ml;;;;
Milkshakes Tradicionais;Framboesa;250ml;;;;
Milkshakes Tradicionais;Framboesa;400ml;;;;
Milkshakes Tradicionais;Framboesa;500ml;;;;
Milkshakes Tradicionais;Framboesa;700ml;;;;
Milkshakes Tradicionais;Iogurte;250ml;;;;
Milkshakes Tradicionais;Iogurte;400ml;;;;
Milkshakes Tradicionais;Iogurte;500ml;;;;
Milkshakes Tradicionais;Iogurte;700ml;;;;
Milkshakes Tradicionais;Kinder Ovo;250ml;;;;
Milkshakes Tradicionais;Kinder Ovo;400ml;;;;
Milkshakes Tradicionais;Kinder Ovo;500ml;;;;
Milkshakes Tradicionais;Kinder Ovo;700ml;;;;
Milkshakes Tradicionais;Leite Condensado;250ml;;;;
Milkshakes Tradicionais;Leite Condensado;400ml;;;;
Milkshakes Tradicionais;Leite Condensado;500ml;;;;
Milkshakes Tradicionais;Leite Condensado;700ml;;;;
Milkshakes Tradicionais;Limao;250ml;;;;
Milkshakes Tradicionais;Limao;400ml;;;;
Milkshakes Tradicionais;Limao;500ml;;;;
Milkshakes Tradicionais;Limao;700ml;;;;
Milkshakes Tradicionais;Maracuja;250ml;;;;
Milkshakes Tradicionais;Maracuja;400ml;;;;
Milkshakes Tradicionais;Maracuja;500ml;;;;
Milkshakes Tradicionais;Maracuja;700ml;;;;
Milkshakes Tradicionais;Melancia;250ml;;;;
Milkshakes Tradicionais;Melancia;400ml;;;;
Milkshakes Tradicionais;Melancia;500ml;;;;
Milkshakes Tradicionais;Melancia;700ml;;;;
Milkshakes Tradicionais;Menta;250ml;;;PENDENTE TRANSCRIÇÃO A PARTIR DA FOTO;menta.jpg
Milkshakes Tradicionais;Menta;400ml;;;;
Milkshakes Tradicionais;Menta;500ml;;;;
Milkshakes Tradicionais;Menta;700ml;;;;
Milkshakes Tradicionais;Milho;250ml;;;;
Milkshakes Tradicionais;Milho;400ml;;;;
Milkshakes Tradicionais;Milho;500ml;;;;
Milkshakes Tradicionais;Milho;700ml;;;;
Milkshakes Tradicionais;Milk Boll;250ml;;;;
Milkshakes Tradicionais;Milk Boll;400ml;;;;
Milkshakes Tradicionais;Milk Boll;500ml;;;;
Milkshakes Tradicionais;Milk Boll;700ml;;;;
Milkshakes Tradicionais;Morango;250ml;;;;
Milkshakes Tradicionais;Morango;400ml;;;;
Milkshakes Tradicionais;Morango;500ml;;;;
Milkshakes Tradicionais;Morango;700ml;;;;
Milkshakes Tradicionais;Napolitano;250ml;;;PENDENTE TRANSCRIÇÃO A PARTIR DA FOTO;napolitano.jpg
Milkshakes Tradicionais;Napolitano;400ml;;;;
Milkshakes Tradicionais;Napolitano;500ml;;;;
Milkshakes Tradicionais;Napolitano;700ml;;;;
Milkshakes Tradicionais;Negresco;250ml;;;;
Milkshakes Tradicionais;Negresco;400ml;;;;
Milkshakes Tradicionais;Negresco;500ml;;;;
Milkshakes Tradicionais;Negresco;700ml;;;;
Milkshakes Tradicionais;Crocante;250ml;;;;
Milkshakes Tradicionais;Crocante;400ml;;;;
Milkshakes Tradicionais;Crocante;500ml;;;;
Milkshakes Tradicionais;Crocante;700ml;;;;
Milkshakes Tradicionais;Pacoca;250ml;;;;
Milkshakes Tradicionais;Pacoca;400ml;;;;
Milkshakes Tradicionais;Pacoca;500ml;;;;
Milkshakes Tradicionais;Pacoca;700ml;;;;
Milkshakes Tradicionais;Passas ao Rum;250ml;;;;
Milkshakes Tradicionais;Passas ao Rum;400ml;;;;
Milkshakes Tradicionais;Passas ao Rum;500ml;;;;
Milkshakes Tradicionais;Passas ao Rum;700ml;;;;
Milkshakes Tradicionais;Pe de Moleque;250ml;;;;
Milkshakes Tradicionais;Pe de Moleque;400ml;;;;
Milkshakes Tradicionais;Pe de Moleque;500ml;;;;
Milkshakes Tradicionais;Pe de Moleque;700ml;;;;
Milkshakes Tradicionais;Pistache;250ml;;;;
Milkshakes Tradicionais;Pistache;400ml;;;;
Milkshakes Tradicionais;Pistache;500ml;;;;
Milkshakes Tradicionais;Pistache;700ml;;;;
Milkshakes Tradicionais;Prestigio;250ml;;;;
Milkshakes Tradicionais;Prestigio;400ml;;;;
Milkshakes Tradicionais;Prestigio;500ml;;;;
Milkshakes Tradicionais;Prestigio;700ml;;;;
Milkshakes Tradicionais;Sensação;250ml;;;;
Milkshakes Tradicionais;Sensação;400ml;;;;
Milkshakes Tradicionais;Sensação;500ml;;;;
Milkshakes Tradicionais;Sensação;700ml;;;;
Milkshakes Tradicionais;Uva;250ml;;;PENDENTE TRANSCRIÇÃO A PARTIR DA FOTO;uva.jpg
Milkshakes Tradicionais;Uva;400ml;;;;
Milkshakes Tradicionais;Uva;500ml;;;;
Milkshakes Tradicionais;Uva;700ml;;;;
Milk Shakes Especiais;Farinha Lactea;250ml;;;;
Milk Shakes Especiais;Farinha Lactea;400ml;;;;
Milk Shakes Especiais;Farinha Lactea;500ml;;;;
Milk Shakes Especiais;Farinha Lactea;700ml;;;;
Milk Shakes Especiais;Ferrero Rocher;250ml;;;;
Milk Shakes Especiais;Ferrero Rocher;400ml;;;;
Milk Shakes Especiais;Ferrero Rocher;500ml;;;;
Milk Shakes Especiais;Ferrero Rocher;700ml;;;;
Milk Shakes Especiais;Frutas Vermelhas;250ml;;;;
Milk Shakes Especiais;Frutas Vermelhas;400ml;;;;
Milk Shakes Especiais;Frutas Vermelhas;500ml;;;;
Milk Shakes Especiais;Frutas Vermelhas;700ml;;;;
Milk Shakes Especiais;Leite Ninho;250ml;;;;
Milk Shakes Especiais;Leite Ninho;400ml;;;;
Milk Shakes Especiais;Leite Ninho;500ml;;;;
Milk Shakes Especiais;Leite Ninho;700ml;;;;
Milk Shakes Especiais;Nutella;250ml;;;;
Milk Shakes Especiais;Nutella;400ml;;;;
Milk Shakes Especiais;Nutella;500ml;;;;
Milk Shakes Especiais;Nutella;700ml;;;;
Milk Shakes Especiais;Ovo Ninho;250ml;;;;
Milk Shakes Especiais;Ovo Ninho;400ml;;;;
Milk Shakes Especiais;Ovo Ninho;500ml;;;;
Milk Shakes Especiais;Ovo Ninho;700ml;;;;
Milk Shakes Especiais;Proibido com Nutella;250ml;;;;
Milk Shakes Especiais;Proibido com Nutella;400ml;;;;
Milk Shakes Especiais;Proibido com Nutella;500ml;;;;
Milk Shakes Especiais;Proibido com Nutella;700ml;;;;
Milk Shakes Especiais;Torta de Limão;250ml;;;;
Milk Shakes Especiais;Torta de Limão;400ml;;;;
Milk Shakes Especiais;Torta de Limão;500ml;;;;
Milk Shakes Especiais;Torta de Limão;700ml;;;;
Milk Shakes Especiais;Cupuaçu;250ml;;;;
Milk Shakes Especiais;Cupuaçu;400ml;;;;
Milk Shakes Especiais;Cupuaçu;500ml;;;;
Milk Shakes Especiais;Cupuaçu;700ml;;;;
Milk Shakes Especiais;Floresta Negra;250ml;;;;
Milk Shakes Especiais;Floresta Negra;400ml;;;;
Milk Shakes Especiais;Floresta Negra;500ml;;;;
Milk Shakes Especiais;Floresta Negra;700ml;;;;
Milk Shakes Especiais;Cookie;250ml;;;;
Milk Shakes Especiais;Cookie;400ml;;;;
Milk Shakes Especiais;Cookie;500ml;;;;
Milk Shakes Especiais;Cookie;700ml;;;;
Milk Shakes Especiais;Ouro Branco;250ml;"Recheio Variegato Bombom Vabene; Sorvete misto; Leite; Bombom Ouro Branco";Decore o copo com o recheio Variegato Bombom Vabene (medidas por tamanho). Coloque o leite até a marcação, acrescente o sorvete e misture no batedor. Complete e misture novamente. Finalize com 1 bombom Ouro Branco cortado ao meio.;;ouro_branco.jpg
Milk Shakes Especiais;Ouro Branco;400ml;"Recheio Variegato Bombom Vabene; Sorvete misto; Leite; Bombom Ouro Branco";Decore o copo com o recheio Variegato Bombom Vabene (medidas por tamanho). Coloque o leite até a marcação, acrescente o sorvete e misture no batedor. Complete e misture novamente. Finalize com 1 bombom Ouro Branco cortado ao meio.;;ouro_branco.jpg
